date,product_type,units_demanded,total_revenue,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,rolling_mean_7,rolling_std_7,day_of_week,month,is_weekend
2023-03-31,Bathroom,73,21106.09,92,132,100,94,175.14285714285714,111.12819709900909,4,3,0
2023-03-31,Bedding,84,23947.81,92,71,73,73,163.71428571428572,115.53169014851052,4,3,0
2023-03-31,BlueStar AC,20,5152.1,43,36,28,41,145.28571428571428,123.9700424641834,4,3,0
2023-03-31,Children's,69,17996.760000000002,88,50,78,79,122.57142857142856,116.57309172483036,4,3,0
2023-03-31,Chocolate,109,33073.26,101,74,60,96,126.57142857142856,115.05919801397474,4,3,0
2023-03-31,Coffee,117,28422.24,76,37,108,98,125.14285714285714,115.7071426366707,4,3,0
2023-03-31,Decorations,152,44531.8,178,181,199,138,95.71428571428572,40.93374437516578,4,3,0
2023-03-31,Dress,100,21999.57,116,55,104,114,99.14285714285714,41.57093765051308,4,3,0
2023-03-31,Fiction,271,61440.46,228,277,322,287,118.57142857142856,63.6130414900832,4,3,0
2023-03-31,Fridge,157,44700.5,131,134,127,105,131.14285714285714,54.18618695888153,4,3,0
2023-03-31,Furniture,215,45437.46,149,195,181,167,139.85714285714286,50.89672082242824,4,3,0
2023-03-31,Headphones,120,35742.92,87,112,44,69,137.85714285714286,52.91322635985763,4,3,0
2023-03-31,Jacket,88,26865.64,59,94,61,87,135.42857142857142,56.49441607467994,4,3,0
2023-03-31,Jeans,106,27851.86,103,76,114,88,124.71428571428572,54.1378311525754,4,3,0
2023-03-31,Juice,190,43006.46,209,134,184,207,138.0,62.42061625243171,4,3,0
2023-03-31,Kitchen,79,17970.86,76,106,146,135,116.28571428571428,51.350800986009546,4,3,0
2023-03-31,Laptop,140,31491.63,57,106,83,89,105.71428571428572,55.283253298246535,4,3,0
2023-03-31,Lighting,63,14884.66,72,91,79,77,94.71428571428572,52.84163221587767,4,3,0
2023-03-31,Literature,55,15411.7,47,121,83,81,89.0,55.889772469268905,4,3,0
2023-03-31,Mitsubishi 1.5 Ton 3 Star Split AC,106,25709.08,172,73,105,99,105.14285714285714,61.788425484143175,4,3,0
2023-03-31,Non-Fiction,292,74869.18,278,278,216,254,130.14285714285714,89.82098598773857,4,3,0
2023-03-31,Shirt,120,27850.39,101,91,128,100,114.71428571428572,83.03757038376118,4,3,0
2023-03-31,Shoes,192,52091.56,239,178,178,104,138.0,92.66786569967682,4,3,0
2023-03-31,Shorts,90,22587.34,71,74,58,86,140.0,90.75975613306451,4,3,0
2023-03-31,Smartphone,299,89395.0,228,286,241,293,162.28571428571428,90.43176854349794,4,3,0
2023-03-31,Snacks,77,17427.0,63,82,86,72,164.57142857142858,87.17579393168192,4,3,0
2023-03-31,Soft Drink,151,40459.38,175,103,176,159,165.0,87.22576072086363,4,3,0
2023-03-31,T-shirt,166,39514.28,125,188,158,135,143.14285714285714,72.03801906268801,4,3,0
2023-03-31,Tablet,94,28038.97,202,197,127,131,157.57142857142858,72.30458063603163,4,3,0
2023-03-31,Television,226,57463.44,187,187,166,193,150.14285714285714,64.82907930712528,4,3,0
2023-03-31,Thriller,49,11577.19,114,108,78,51,156.28571428571428,57.72842825308384,4,3,0
2023-03-31,Tools,140,40659.57,126,121,114,83,141.71428571428572,48.79109989097847,4,3,0
2023-03-31,Water,332,84159.81999999999,418,295,397,378,192.42857142857144,105.21225711683545,4,3,0
2023-04-01,Bathroom,82,25983.0,73,74,89,122,177.85714285714286,114.66680509404726,5,4,1
2023-04-01,Bedding,73,22523.89,84,64,55,82,172.0,118.78973019583816,5,4,1
2023-04-01,BlueStar AC,50,12807.49,20,31,24,20,146.0,130.47221926525208,5,4,1
2023-04-01,Children's,71,19868.31,69,100,99,87,129.14285714285714,131.90707407291012,5,4,1
2023-04-01,Chocolate,81,20117.61,109,86,78,88,128.42857142857142,132.01623276811728,5,4,1
2023-04-01,Coffee,68,16209.49,117,60,91,103,127.14285714285714,132.08763324832066,5,4,1
2023-04-01,Decorations,171,47217.65,152,205,216,101,89.14285714285714,42.02153642847328,5,4,1
2023-04-01,Dress,68,16728.81,100,97,64,55,93.0,41.52910625894388,5,4,1
2023-04-01,Fiction,262,60247.17,271,260,316,303,119.71428571428572,78.48081354852341,5,4,1
2023-04-01,Fridge,85,20069.06,157,105,152,100,139.28571428571428,65.47445885156114,5,4,1
2023-04-01,Furniture,171,48865.12,215,102,156,172,160.14285714285714,62.54179554886648,5,4,1
2023-04-01,Headphones,109,28460.75,120,64,92,83,161.71428571428572,61.16566107905743,5,4,1
2023-04-01,Jacket,75,26925.59,88,93,86,69,157.57142857142858,65.52571287379536,5,4,1
2023-04-01,Jeans,92,30914.36,106,69,51,72,151.0,68.42026990105603,5,4,1
2023-04-01,Juice,194,49553.79,190,158,177,165,163.85714285714286,65.63898377089805,5,4,1
2023-04-01,Kitchen,119,33140.15,79,64,112,110,136.42857142857142,52.13078790522027,5,4,1
2023-04-01,Laptop,54,13989.72,140,88,65,71,134.0,51.40363151892426,5,4,1
2023-04-01,Lighting,50,11856.52,63,80,98,139,112.28571428571428,42.88245284384698,5,4,1
2023-04-01,Literature,99,23962.07,55,151,123,80,103.0,47.70045422564995,5,4,1
2023-04-01,Mitsubishi 1.5 Ton 3 Star Split AC,110,29769.8,106,116,98,109,105.57142857142856,47.24001532196028,5,4,1
2023-04-01,Non-Fiction,327,78835.13,292,249,281,249,132.14285714285714,84.85561967528255,5,4,1
2023-04-01,Shirt,42,11884.96,120,60,116,72,122.14285714285714,80.93501214231202,5,4,1
2023-04-01,Shoes,205,42994.42,192,184,163,119,138.28571428571428,82.15577538171885,5,4,1
2023-04-01,Shorts,87,20821.26,90,122,133,90,131.14285714285714,84.13169947851324,5,4,1
2023-04-01,Smartphone,280,80121.76,299,264,311,285,164.85714285714286,98.35722066601356,5,4,1
2023-04-01,Snacks,118,32717.68,77,77,96,109,168.0,94.5392334783115,5,4,1
2023-04-01,Soft Drink,169,49531.08,151,131,166,185,174.42857142857142,91.08760827331244,5,4,1
2023-04-01,T-shirt,179,45049.69,166,158,153,210,156.42857142857142,75.01301474379231,5,4,1
2023-04-01,Tablet,186,42311.63,94,115,217,163,152.71428571428572,77.71253499428593,5,4,1
2023-04-01,Television,180,47234.36,226,112,146,145,157.57142857142858,81.54519634913555,5,4,1
2023-04-01,Thriller,110,25722.05,49,81,112,107,151.71428571428572,88.39252284689081,5,4,1
2023-04-01,Tools,63,13877.86,140,131,107,94,129.0,60.15535443056314,5,4,1
2023-04-01,Water,335,90276.24,332,411,378,380,165.42857142857142,92.13008401685308,5,4,1
2023-04-02,Bathroom,72,22943.57,82,110,82,108,155.57142857142858,97.4676991672236,6,4,1
2023-04-02,Bedding,99,23909.96,73,73,112,31,142.28571428571428,102.04037482897692,6,4,1
2023-04-02,BlueStar AC,23,2898.86,50,20,33,34,136.0,106.75673280875549,6,4,1
2023-04-02,Children's,68,19629.76,71,32,120,74,113.85714285714286,100.89173829973818,6,4,1
2023-04-02,Chocolate,79,19989.52,81,54,65,118,118.42857142857144,98.15100125632468,6,4,1
2023-04-02,Coffee,114,33670.07,68,111,75,75,108.14285714285714,99.27978742159044,6,4,1
2023-04-02,Decorations,140,37078.8,171,133,171,148,85.14285714285714,39.31678425061624,6,4,1
2023-04-02,Dress,45,13837.49,68,58,146,88,83.14285714285714,39.85569207122329,6,4,1
2023-04-02,Fiction,236,67967.59,262,261,251,272,110.14285714285714,77.79766185738609,6,4,1
2023-04-02,Fridge,65,10815.81,85,146,89,107,115.14285714285714,74.33578898356781,6,4,1
2023-04-02,Furniture,208,48627.03,171,185,192,110,129.42857142857142,74.04696064628438,6,4,1
2023-04-02,Headphones,118,28470.06,109,133,51,59,133.42857142857142,71.71438057288363,6,4,1
2023-04-02,Jacket,83,22218.47,75,52,134,48,134.42857142857142,70.69148261485059,6,4,1
2023-04-02,Jeans,70,14678.29,92,67,105,91,123.14285714285714,70.18411161943654,6,4,1
2023-04-02,Juice,160,42749.21,194,137,178,124,141.14285714285714,69.84131673880107,6,4,1
2023-04-02,Kitchen,82,15328.22,119,112,47,102,120.71428571428572,45.1468503357443,6,4,1
2023-04-02,Laptop,77,21925.18,54,98,91,81,116.28571428571428,50.443745187797326,6,4,1
2023-04-02,Lighting,136,28543.03,50,137,109,75,99.0,49.28826770473194,6,4,1
2023-04-02,Literature,126,32406.32,99,64,117,95,97.57142857142856,49.09466075130474,6,4,1
2023-04-02,Mitsubishi 1.5 Ton 3 Star Split AC,62,12386.42,110,105,95,109,102.57142857142856,48.18664110469178,6,4,1
2023-04-02,Non-Fiction,231,54985.06,327,264,270,305,136.14285714285714,96.86662406186596,6,4,1
2023-04-02,Shirt,106,26381.52,42,106,93,72,114.42857142857144,98.75366177659292,6,4,1
2023-04-02,Shoes,130,35026.23,205,224,214,156,126.71428571428572,104.59399964579596,6,4,1
2023-04-02,Shorts,108,24237.58,87,89,93,60,131.42857142857142,101.46732995215284,6,4,1
2023-04-02,Smartphone,200,48120.2,280,348,259,246,164.28571428571428,107.74926803419494,6,4,1
2023-04-02,Snacks,96,24406.62,118,139,141,81,167.0,106.05658866850293,6,4,1
2023-04-02,Soft Drink,109,19642.01,169,237,180,164,175.42857142857142,103.07417578756449,6,4,1
2023-04-02,T-shirt,229,68974.09,179,189,195,223,154.28571428571428,79.22060818944009,6,4,1
2023-04-02,Tablet,157,41188.58,186,169,129,226,174.85714285714286,62.03608780763193,6,4,1
2023-04-02,Television,155,42496.7,180,206,149,163,171.28571428571428,60.71714278991934,6,4,1
2023-04-02,Thriller,124,27463.93,110,106,57,86,174.57142857142858,55.820716413822645,6,4,1
2023-04-02,Tools,73,22524.07,63,110,97,80,143.57142857142858,47.08452379447407,6,4,1
2023-04-02,Water,406,103949.97,335,407,343,376,174.57142857142858,84.22758285909516,6,4,1
2023-04-03,Bathroom,68,17481.71,72,82,84,93,160.71428571428572,92.8362613883791,0,4,0
2023-04-03,Bedding,91,20049.4,99,67,102,99,149.28571428571428,95.10645664326957,0,4,0
2023-04-03,BlueStar AC,27,5070.87,23,16,40,18,126.0,104.14413089560068,0,4,0
2023-04-03,Children's,136,35816.22,68,120,120,80,110.0,103.0630874755846,0,4,0
2023-04-03,Chocolate,72,22726.91,79,67,78,69,105.57142857142856,103.72697679141002,0,4,0
2023-04-03,Coffee,128,29769.82,114,94,91,45,112.85714285714286,102.01540499916108,0,4,0
2023-04-03,Decorations,149,38573.91,140,144,171,217,85.0,37.416573867739295,0,4,0
2023-04-03,Dress,102,23634.57,45,112,83,95,81.14285714285714,40.26341834895352,0,4,0
2023-04-03,Fiction,262,61168.5,236,231,301,268,100.71428571428572,71.53953286054333,0,4,0
2023-04-03,Fridge,134,23309.44,65,117,116,75,106.71428571428572,65.43626488350907,0,4,0
2023-04-03,Furniture,151,37500.48,208,239,180,177,126.71428571428572,72.63083432839046,0,4,0
2023-04-03,Headphones,105,28969.04,118,99,84,125,132.28571428571428,69.80141900590637,0,4,0
2023-04-03,Jacket,57,10955.95,83,65,78,110,127.85714285714286,72.1004590170978,0,4,0
2023-04-03,Jeans,90,28460.23,70,122,98,94,117.85714285714286,74.9342568999177,0,4,0
2023-04-03,Juice,153,37536.09,160,120,215,114,134.28571428571428,68.64088744015072,0,4,0
2023-04-03,Kitchen,76,26164.02,82,94,195,83,112.28571428571428,53.64921337017066,0,4,0
2023-04-03,Laptop,140,38141.19,77,79,96,125,114.0,52.0544586626993,0,4,0
2023-04-03,Lighting,136,39213.1,136,103,93,72,103.71428571428572,34.557750147225946,0,4,0
2023-04-03,Literature,94,19468.5,126,82,96,107,104.85714285714286,35.23458798504944,0,4,0
2023-04-03,Mitsubishi 1.5 Ton 3 Star Split AC,82,19175.33,62,92,113,99,101.85714285714286,38.17690650741872,0,4,0
2023-04-03,Non-Fiction,192,35439.54,231,280,270,286,124.85714285714286,58.74359134245652,0,4,0
2023-04-03,Shirt,126,29954.56,106,101,101,91,117.14285714285714,56.87538592229093,0,4,0
2023-04-03,Shoes,163,37141.59,130,188,136,212,124.0,54.78746815346257,0,4,0
2023-04-03,Shorts,116,28558.99,108,100,106,81,128.42857142857142,51.51005449701761,0,4,0
2023-04-03,Smartphone,211,54573.61,200,271,191,179,137.57142857142858,58.30911061705877,0,4,0
2023-04-03,Snacks,56,12396.73,96,78,82,79,133.28571428571428,60.36752517072493,0,4,0
